Cid,Year,Ethnicity,Sex,Cause of Death,Count,Percent
18922,2010,NON-HISPANIC BLACK,MALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,297,5
18923,2010,NON-HISPANIC BLACK,MALE,INFLUENZA AND PNEUMONIA,201,3
18924,2010,NON-HISPANIC BLACK,MALE,INTENTIONAL SELF-HARM (SUICIDE),64,1
18925,2010,NON-HISPANIC BLACK,MALE,MALIGNANT NEOPLASMS,1540,23
18926,2010,NON-HISPANIC BLACK,MALE,MENTAL DISORDERS DUE TO USE OF ALCOHOL,50,1
18927,2010,NON-HISPANIC BLACK,MALE,"NEPHRITIS, NEPHROTIC SYNDROME AND NEPHROSIS",70,1
18928,2010,NON-HISPANIC BLACK,MALE,PEPTIC ULCER,13,0
18929,2010,NON-HISPANIC BLACK,MALE,PSYCH. SUBSTANCE USE & ACCIDENTAL DRUG POISONING,111,2
18930,2010,NON-HISPANIC BLACK,MALE,SEPTICEMIA,36,1
18931,2010,NON-HISPANIC BLACK,MALE,SHORT GESTATION/LBW,35,1
18932,2010,NON-HISPANIC BLACK,MALE,VIRAL HEPATITIS,49,1
18933,2010,NON-HISPANIC WHITE,FEMALE,ACCIDENTS EXCEPT DRUG POISONING,164,1
18934,2010,NON-HISPANIC WHITE,FEMALE,ALZHEIMERS DISEASE,247,2
18935,2010,NON-HISPANIC WHITE,FEMALE,AORTIC ANEURYSM AND DISSECTION,22,0
18936,2010,NON-HISPANIC WHITE,FEMALE,ATHEROSCLEROSIS,74,1
18937,2010,NON-HISPANIC WHITE,FEMALE,BENIGN AND UNCERTAIN NEOPLASMS,69,1
18938,2010,NON-HISPANIC WHITE,FEMALE,CEREBROVASCULAR DISEASE,382,3
18939,2010,NON-HISPANIC WHITE,FEMALE,CHOLELITHIASIS AND DISORDERS OF GALLBLADDER,19,0
18940,2010,NON-HISPANIC WHITE,FEMALE,CHRONIC LIVER DISEASE AND CIRRHOSIS,67,0
18941,2010,NON-HISPANIC WHITE,FEMALE,CHRONIC LOWER RESPIRATORY DISEASES,502,4
18942,2010,NON-HISPANIC WHITE,FEMALE,"CONGENITAL MALFORMATIONS,DEFORMATIONS",32,0
18943,2010,NON-HISPANIC WHITE,FEMALE,DIABETES MELLITUS,258,2
18944,2010,NON-HISPANIC WHITE,FEMALE,DISEASES OF HEART,5351,40
18945,2010,NON-HISPANIC WHITE,FEMALE,ESSENTIAL HYPERTENSION AND RENAL DISEASES,219,2
18946,2010,NON-HISPANIC WHITE,FEMALE,HUMAN IMMUNODEFICIENCY VIRUS DISEASE,24,0
18947,2010,NON-HISPANIC WHITE,FEMALE,INFLUENZA AND PNEUMONIA,707,5
18948,2010,NON-HISPANIC WHITE,FEMALE,INTENTIONAL SELF-HARM (SUICIDE),61,0
18949,2010,NON-HISPANIC WHITE,FEMALE,MALIGNANT NEOPLASMS,3438,25
